id,nome,squadra,ruolo_classico,ruoli_mantra,is_portiere,giudizio,pct_min,pct_max,pct_display,motivazione,corretto,trappola_assoluta,trappola_nota,occasione_regalo,occasione_nota,quotazione_attuale,fvm,non_in_listone
4887,Bellanova,Atalanta,D,Dd;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,5.0,17.0,False
7219,Bernasconi,Atalanta,D,Ds;E,False,solo_sotto,2.0,2.0,2% (12cr),ultimo/penultimo slot,False,False,,False,,5.0,18.0,False
4431,Carnesecchi,Atalanta,P,,True,prendi,9.0,9.0,9% (54cr),scelta migliore,False,False,,False,,17.0,57.0,False
5995,De Ketelaere,Atalanta,A,A,False,prendi,7.0,7.0,"7% (42cr) (idealmente 6,9% (41cr))",top scelta,False,False,,False,,17.0,92.0,False
5792,Ederson D.S.,Atalanta,C,M;C,False,solo_sotto,4.0,4.0,4% (24cr),titolare ma costa di più,False,False,,False,,13.0,50.0,False
4479,Elmas,Atalanta,C,W;T,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,7.0,22.0,False
4364,Gaetano,Atalanta,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,7.0,30.0,False
6046,Hien,Atalanta,D,Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,7.0,11.0,False
1850,Kessiè,Atalanta,C,C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,12.0,44.0,False
2640,Kolasinac,Atalanta,D,Ds;Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,6.0,8.0,False
5578,Kossounou,Atalanta,D,Dd;Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,4.0,12.0,False
6485,Kristensen T.,Atalanta,D,Dd;Dc,False,solo_sotto,1.0,1.0,1% (6cr),soffre di infortuni,True,False,,False,,6.0,20.0,False
6435,Krstovic,Atalanta,A,Pc,False,prendi,10.0,10.0,10% (60cr),meglio di Scamacca,False,False,,False,,18.0,96.0,False
2077,Pasalic,Atalanta,C,C;T,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,8.0,21.0,False
7626,Pompei,Atalanta,P,,True,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,1.0,False
4371,Raspadori,Atalanta,A,A,False,evita,,,—,ha perso il posto,False,False,,False,,13.0,67.0,False
6844,Rowe,Atalanta,C,W;T,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,10.0,39.0,False
5119,Samardzic,Atalanta,C,C;T,False,prendi,3.9,3.9,"3,9% (23cr)",preferito a Ederson,False,False,,False,,13.0,43.0,False
5526,Scalvini,Atalanta,D,Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,11.0,26.0,False
2137,Scamacca,Atalanta,A,Pc,False,evita,,,—,mai 12%,False,False,,False,,19.0,100.0,False
4,Sportiello,Atalanta,P,,True,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,1.0,False
5918,Sulemana K.,Atalanta,A,A,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,5.0,5.0,False
5422,Zalewski,Atalanta,C,W,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,7.0,18.0,False
554,Zappacosta,Atalanta,D,Dd;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,8.0,16.0,False
7483,Alhassane,Bologna,D,Ds;E,False,prendi,1.0,1.0,<1% (6cr),buon rapporto qualità/prezzo,True,False,,False,,2.0,6.0,False
7528,Amondarain,Bologna,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,4.0,10.0,False
184,Bernardeschi,Bologna,C,W;T,False,prendi,2.0,2.0,2% (12cr),occasione cosmica,False,False,,True,2% (12cr),10.0,26.0,False
4436,Cambiaghi,Bologna,C,W;A,False,prendi,1.0,1.0,1% (6cr),ultimo slot,False,False,,False,,8.0,25.0,False
5498,Casale,Bologna,D,Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,2.0,5.0,False
487,De Silvestri,Bologna,D,Dd;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,4.0,False
6675,Dovbyk,Bologna,A,Pc,False,evita,6.2,6.2,"6,2% (37cr)",mai oltre,True,False,,False,,16.0,50.0,False
6225,El Azzouzi O.,Bologna,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,2.0,10.0,False
7627,Enem,Bologna,A,Pc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,2.0,4.0,False
5858,Ferguson,Bologna,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,8.0,23.0,False
7533,Happonen,Bologna,P,,True,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,1.0,False
7212,Heggem,Bologna,D,Ds;Dc,False,prendi,1.0,1.0,1% (6cr),giocatore affidabile,False,False,,False,,5.0,15.0,False
7326,Helland,Bologna,D,Dd;Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,3.0,12.0,False
5678,Holm,Bologna,D,Dd;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,6.0,13.0,False
7629,Libra,Bologna,C,C;T,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,1.0,False
6833,Mbangula,Bologna,C,W;A,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,8.0,22.0,False
4734,Miranda J.,Bologna,D,Ds;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,9.0,25.0,False
6054,Moro N.,Bologna,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,4.0,14.0,False
2765,Odgaard,Bologna,C,T,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,8.0,15.0,False
2167,Orsolini,Bologna,C,W;A,False,evita,,,—,"mai 13-14%, in calo — out fino 22/09",False,True,"13-14% (78-84cr), infortunato fino al 22/09",False,,25.0,152.0,False
7172,Pessina Mas.,Bologna,P,,True,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,1.0,False
4359,Piccoli,Bologna,A,Pc,False,prendi,2.0,2.0,2% (12cr),ottimo ultimo/penultimo slot,False,False,,True,2% (12cr),9.0,50.0,False
5298,Pobega,Bologna,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,6.0,12.0,False
133,Skorupski,Bologna,P,,True,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,10.0,32.0,False
5675,Theate,Bologna,D,Ds;Dc,False,prendi,1.0,1.0,1% (6cr),giocatore affidabile,True,False,,False,,8.0,20.0,False
7068,Vitik,Bologna,D,Dc,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,4.0,10.0,False
4433,Zortea,Bologna,D,Dd;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,6.0,19.0,False
4870,Adopo,Cagliari,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,7.0,13.0,False
7548,Aurelio,Cagliari,D,Ds;E,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,5.0,False
4360,Caprile,Cagliari,P,,True,solo_sotto,2.0,2.0,2% (12cr),solo in alternanza,False,False,,False,,11.0,25.0,False
5462,Ciervo,Cagliari,C,W,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,1.0,1.0,False
1871,Deiola,Cagliari,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,4.0,8.0,False
6815,Fadera,Cagliari,C,W,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,3.0,12.0,False
6010,Fazzini,Cagliari,C,C;T,False,prendi,1.0,1.5,"1-1,5% (6-9cr)",unico giocatore da prendere,False,False,,False,,8.0,28.0,False
6640,Felici,Cagliari,C,W,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,5.0,7.0,False
801,Gagliardini,Cagliari,C,M;C,False,nessun_consiglio,,,,Nessun consiglio — valutazione libera,False,False,,False,,3.0,8.0,False
