Adams A. | Venezia | A | Pc | 2% (12cr) | OK | "il Bisonte", titolare indiscusso
Alhassane (corr.) | Bologna | D | Ds;E | <1% (6cr) | OK | buon rapporto qualità/prezzo
Anjorin | Torino | C | C;T | 1% (6cr) | OK | titolare
Baldanzi | Genoa | C | T | 2-2,5% (12-15cr) | OK | ottima soluzione
Balerdi | Roma | D | Dc | 1cr | OK |
Barella | Inter | C | C | 6,6% (40cr) | ! | ci sono alternative
Basic | Venezia | C | M;C | — | OK | sottovalutato
Bastoni | Inter | D | Dc | — | X | 6,6% troppo caro
Baturina | Como | C | T | 10% (60cr) | OK | occasione, prima 6%
Berardi | Sassuolo | A | A | 9% (54cr) | OK | grande opportunità se sta bene
Bernardeschi | Bologna | C | W;T | 2% (12cr) | OK | occasione cosmica
Bernasconi | Atalanta | D | Ds;E | 2% (12cr) | ! | ultimo/penultimo slot
Beto | Fiorentina | A | Pc | 7-8% (42-48cr) | OK | fortemente consigliato
Biraghi | Torino | D | B;Ds;E | 1% (6cr) | OK | preferito a Fortini
Bisseck | Inter | D | Dc | 3-4% (18-24cr) | ! | spesso infortunato
Bobby Malen/Leao | Milan | A | ? | 33-40% (198-240cr) | ? | non trovato nel listone Milan 2026-27 — verifica se ceduto
Boloca | Sassuolo | C | M;C | 1cr | OK | grande intuizione — rientro 30/09
Bowie (corr.) | Sassuolo | A | Pc | 2% (12cr) | OK | titolare centrale ("Bowe" nel video)
Bracaglia | Frosinone | D | Ds;Dc | 1% (6cr) | OK | preferito a Monterisi
Bremer | Juventus | D | Dc | 5-6% (30-36cr) | X | mai 7,4%
Busio | Venezia | C | M;C | — | OK | batte rigori e palle inattive
Butez | Como | P | Por | 8,4% (50cr) | OK | ottima scelta
Calhanoglu | Inter | C | M;C | 15% (90cr) (15,5% (93cr)) | OK | miglior CC Serie A
Calò | Frosinone | C | M;C | 2% (12cr) | OK | "nostro giocatore"
Camarda | Milan | A | Pc | — | ! | seconda scelta dopo Ramos G.
Cambiaghi | Bologna | A/C | W;A | 1% (6cr) | OK | ultimo slot
Cambiaso | Juventus | D | Dd;Ds;E | — | X | mai
Caprile | Cagliari | P | Por | 2% (12cr) | ! | solo in alternanza
Caqueret (corr.) | Como | C | C;T | 14-15% (84-90cr) | OK | top centrocampista — confidenza media sul nome
Carnesecchi | Atalanta | P | Por | 9% (54cr) | OK | scelta migliore
Casadei | Torino | C | C;T | — | OK | preferito a Mandragora
Chalobah T. (corr.) | Como | D | Dd;Dc | 4% (24cr) | OK | separato da Ramon, altro "regalo"
Chukwueze | Milan | C | E;W | 2% (12cr) | ! | possibile
Colombo | Genoa | A | Pc | 6% (36cr) | OK | rigorista, ottimo acquisto
Conceicao | Juventus | C | W;A | — | X | mai 7%
Couto | Como | D | Dd;E | 3% (18cr) | OK | titolare, proiezione offensiva
Cristante / Konè M. | Roma | C | M;C | — | X | evitare entrambi
Cutrone | Monza | A | Pc | 1cr | ! | ripiego se Varela troppo caro
Davis K. | Udinese | A | Pc | 12% (72cr) | OK | rigorista, punto fermo
De Bruyne | Napoli | C | T | — | X | TRAPPOLA mai 8%
De Ketelaere | Atalanta | A | A | 7% (42cr) (idealmente 6,9% (41cr)) | OK | top scelta
De Winter | Milan | D | Dd;Dc | — | X | evitare
Diao/Dio | Napoli | A | ? | 3,8% (23cr) | ? | nessuna corrispondenza chiara — verifica tu (forse Santos A. o Lang)
Diego Carlos | Parma | D | Dc | 1cr | OK | chiude la difesa
Dimarco | Inter | D | E;W | 15% (90cr) | ! | rischioso
Doekhi (corr.) | Lazio | D | Dc | 1% (6cr) | OK | (non "Gila", che è del Milan)
Douglas Luiz | Juventus | C | C | — | X | non oltre 10 crediti
Douvikas | Como | A | Pc | 12-13% (72-78cr) | ! | occhio al ballottaggio con Kean
Dovbyk (corr.) | Bologna | A | Pc | 6,2% (37cr) | X | mai oltre
Drameh | Genoa | D | Dd;Ds;E | 1% (6cr) | ! | ultimo slot
Dybala | Roma | A | A | 12-13% (72-78cr) | ! | non oltre 13%, mai 14%
Ederson D.S. | Atalanta | C | M;C | 4% (24cr) | ! | titolare ma costa di più
Ekkelenkamp (corr.) | Udinese | C | C;T | 4% (24cr) | OK | più bonus di Zaccagni/De Bruyne
Esposito F.P. | Inter | A | Pc | 14% (84cr) | OK | coppia con Thuram (38% tot vs 34% Lautaro)
Esposito Se. | Sassuolo | A | A | 3-4% (18-24cr) | ! | seconda scelta dopo Bowie
Fazzini | Cagliari | C | C;T | 1-1,5% (6-9cr) | OK | unico giocatore da prendere
Frattesi | Lazio | C | C;T | 6-6,4% (36-38cr) | OK | consigliato con forza
Gabbia | Milan | D | Dc | 4% (24cr) | OK | "regalo clamoroso"
Gallo | Lecce | D | Ds;E | 1-2cr | OK | titolare, può portare bonus
Gila (corr.) | Milan | D | Dc | 4% (24cr) | OK | regalo — non è della Lazio
Goncalves P. (corr.) | Fiorentina | C | W;T | 7% (42cr) | OK | "Pedro Gonçalves", scelta definitiva n.1
Gonzalez N. | Juventus | C | W;A | 2,2% (13cr) | OK | preferito a Conceição
Gudmundsson A. (corr.) | Lazio | C | T;A | 4% (24cr) | OK | "regalato" (non è della Fiorentina)
Heggem / Theate (corr.) | Bologna | D | Ds;Dc | 1% (6cr) | OK | giocatore affidabile
Hojlund | Napoli | A | Pc | — | X | TRAPPOLA mai 25%
Hutchinson | Milan | C | W;A | 0,6-1% (4-6cr) | OK | titolare potenziale
Idzes | Venezia | D | ? | 1cr | ? | non trovato nel listone Venezia — verifica tu
Israel | Torino | P | ? | — | ? | non trovato nel listone Torino (portieri: Perri, Mascardi, Paleari, Siviero)
Jimenez A. | Fiorentina | D | Dd;Ds;E | 2,4% (14cr) | OK | investimento importante
Jones C. | Inter | C | C | 4% (24cr) | OK | preferito a Zielinski
Kabasele | Udinese | D | Dc | 1cr | OK |
Kalulu | Juventus | D | Dd;Dc | 4-5% (24-30cr) | OK | certezza, preferito a Bremer
Kamara H. | Udinese | D | Ds;E | — | X | sopravvalutato
Kean | Como | A | Pc | — | X | mai 18%
Kolo Muani | Juventus | A | Pc | 22% (132cr) | ! | può giocare con Woltemade
Kristensen T. (corr.) | Atalanta | D | Dd;Dc | 1% (6cr) | ! | soffre di infortuni
Krstovic | Atalanta | A | Pc | 10% (60cr) | OK | meglio di Scamacca
Kvernadze | Frosinone | A | W;A | <1% (6cr) | OK | possibile sorpresa Serie A
Laurientè | Sassuolo | A | A | 4% (24cr) | X | mai 6%
Lucumì | Juventus | D | Dc | pari a Kelly | OK | preferito a Kelly
Maignan | Milan | P | Por | — | X | TRAPPOLA mai 9,5%
Maldini | Cagliari | A | T;A | 1% (6cr) | OK | sicuro che gioca
Mancini | Roma | D | Dc | 4-5% (24-30cr) | OK | preferito a Bremer
Mandas | Lazio | P | Por | 3,8% (23cr) | OK | buona opportunità low cost
Mangas | Monza | D | Ds;E | 1,3% (8cr) (fino 3cr) | OK | porta bonus
Marcandalli | Genoa | D | Dc | 1% (6cr) | OK | titolare per completare reparto
Martinez Jo. (corr.) | Inter | P | Por | 9-11% (54-66cr) | X | troppo caro, meglio Svilar/Carnesecchi
Martinez L. (Lautaro) | Inter | A | Pc | — | X | mai 33-34%
Mastantuono | Fiorentina | C | W;T | 6-7% (36-42cr) | ! | secondario a Goncalves
McKennie | Juventus | C | C;T | 5% (30cr) | OK | "regalo di Natale"
McTominay | Napoli | C | C;T | 14% (84cr) | OK | "il Rabiot di Allegri" — rientro inizio ottobre
Molina N. | Roma | D | E | 7% (42cr) | ! | meglio di Wesley, ma al limite
Monteiro J. (corr.) | Lecce | C | W;A | 1cr | OK | "Montero" nel video, sconosciuto ai più
Mora (corr.) | Roma | C | T | max 6% (36cr) (8,5% (51cr) mai) | ! | troppa concorrenza — non è della Juventus
Moreira | Milan | C | E;W | 3-4% (18-24cr) | OK | farà benissimo
N'Dicka | Roma | D | Dc | — | X | preferire Kalulu/Rrahmani
Obrador | Sassuolo | D | Ds;E | 1cr | OK | alla lunga sarà titolare
Okoye | Udinese | P | Por | 3% (18cr) | OK | ottima coppia low cost
Orsolini | Bologna | A | W;A | — | X | mai 13-14%, in calo — out fino 22/09
Ostigard | Genoa | D | Dc | 4% (24cr) | OK | vice-rigorista palle inattive
Pavlovic | Milan | D | Dc | — | X | evitare anche a 5%
Paz N. | Como | C | T;A | — | X | mai 18%
Pellegrino M. | Fiorentina | A | Pc | — | ! | tenerlo se già preso
Piccoli | Bologna | A | Pc | 2% (12cr) | OK | ottimo ultimo/penultimo slot
Pinamonti (corr.) | Lazio | A | Pc | 8% (48cr) | OK | titolare senza vera alternativa
Pisilli | Roma | C | C | 1% (6cr) | OK | al loro posto
Politano | Napoli | C | W | 2% (12cr) | OK | titolare
Pulisic | Milan | C | T;A | 8-9% (48-54cr) | ! | ok se sotto il 9%
Rabiot | Milan | C | C;T | 7% (42cr) (ideale 2% (12cr)) | X | TRAPPOLA mai 9%
Raimondo / Bobcek | Frosinone | A | Pc | max 5cr | ! | scegliere solo uno dei due
Ramon | Como | D | Dc | 4% (24cr) | OK | "regalo cosmico"
Ramos G. | Milan | A | Pc | 28% (168cr) | OK | attaccante senza alternativa
Raspadori | Atalanta | A | A | — | X | ha perso il posto
Rensch | Roma | D | B;Dd;E | 1cr | OK |
Rodriguez Ju. | Cagliari | D | Ds;Dc | ultimo slot | ! | Mina/Zappa troppo incostanti
Romero D. | Parma | A | Pc | 1% (6cr) | OK | più bonus del Bilal Touré
Rrahmani | Napoli | D | Dc | 5% (30cr) | OK | Allegri valorizza palle inattive
Saelemaekers | Milan | C | E;W | 2% (12cr) | OK | coppia con Moreira
Samardzic | Atalanta | C | C;T | 3,9% (23cr) | OK | preferito a Ederson
Scamacca | Atalanta | A | Pc | — | X | mai 12%
Simeone | Torino | A | Pc | 10% (60cr) | OK | garanzia, sceso di prezzo
Solet | Udinese | D | Dc | — | X | mai 5,8%, troppo caro
Sutalo J. | Lazio | D | Dc | 1% (6cr) | ! | possibile
Sverko | Venezia | D | Ds;Dc | 1cr | OK | buona scelta low cost — rientro 17/10
Svilar | Roma | P | Por | 11% (66cr) | OK | seconda scelta assoluta
Tavares N. | Lazio | D | Ds;E | 1,3% (8cr) | OK | fortemente consigliato
Thuram | Inter | A | Pc | 24% (144cr) | OK | titolare indiscusso
Tiago Gabriel (corr.) | Lecce | D | Dc | 1-2cr | OK | una delle poche certezze
Tourè E. (corr.) | Parma | A | Pc | — | X | "Bilal Touré", troppo caro (~10cr)
