Bernardeschi | 2% (12cr)
Piccoli | 2% (12cr)
Calò | 2% (12cr)
Baldanzi | 2% (12cr)
Calhanoglu | 15% (90cr)
Thuram | coppia con Esposito F.P.
Esposito F.P. | coppia con Thuram
McKennie | 5% (30cr)
Gonzalez N. | 2,2% (13cr)
Tavares N. | 1,3% (8cr)
Frattesi | 6-6,4% (36-38cr)
Zaniolo | 6% (36cr), Udinese, rientro atteso ~10/10
Gabbia | 4% (24cr)
Moreira | coppia con Saelemaekers
Saelemaekers | coppia con Moreira
Hutchinson | 1% (6cr)
Ramos G. | 28% (168cr)
Mangas | coppia con Varela G.
Varela G. | coppia con Mangas
Rrahmani | 5% (30cr)
McTominay | 14% (84cr), rientro atteso inizio ottobre
Politano | 2% (12cr)
Troilo | coppia con Diego Carlos
Diego Carlos | coppia con Troilo
Svilar | 11% (66cr)
Mancini | 4-5% (24-30cr)
Pisilli | 1% (6cr)
Boloca | 1cr, rientro 30/09
Berardi | 9% (54cr)
Bowie | 2% (12cr)
Vlasic | coppia con Simeone
Simeone | coppia con Vlasic
Ekkelenkamp | 4% (24cr)
Davis K. | 12% (72cr)
Busio | coppia con Basic e Adams A.
Basic | coppia con Busio e Adams A.
Adams A. | coppia con Busio e Basic
